# (X, Y) are on NAD83, UTM Zone 15N
X,Y,Z,mag
338250,6629400,181.466421099957,4781
338300,6629400,181.346472747113,4767
338350,6629400,181.249928671515,4758
338400,6629400,181.176221737193,4752
338450,6629400,181.124662114194,4747
338500,6629400,181.094442766416,4744
338550,6629400,181.084645639135,4743
338600,6629400,181.094248595774,4745
338650,6629400,181.122133355061,4746
338700,6629400,181.167094012243,4746
338750,6629400,181.227845515687,4748
338800,6629400,181.303032102351,4750
338850,6629400,181.391236511168,4753
338900,6629400,181.490990721794,4754
338950,6629400,181.60078666092,4755
339000,6629400,181.719086909671,4755
330000,6629600,211.338227251331,5829
330050,6629600,211.399966993893,5906
330100,6629600,211.461892849201,5950
330150,6629600,211.523637071967,5950
330200,6629600,211.584841985672,5927
330250,6629600,211.645161513629,5830
330300,6629600,211.704261736375,5674
330350,6629600,211.761822010693,5455
330400,6629600,211.817535717949,5295
330450,6629600,211.871110178,5197
330500,6629600,211.922266058703,5146
330550,6629600,211.97073643657,5105
330600,6629600,212.016264972818,5075
330650,6629600,212.058603442443,5057
330700,6629600,212.097508438066,5039
330750,6629600,212.132738501898,5021
330800,6629600,212.164051698069,5006
330850,6629600,212.191203255828,4993
330900,6629600,212.213942790599,4984
330950,6629600,212.232011666276,4976
331000,6629600,212.245140377582,4970
331050,6629600,212.253045952392,4965
331100,6629600,212.255429575855,4959
331150,6629600,212.251974530881,4956
331200,6629600,212.242344455057,4954
331250,6629600,212.226181705834,4953
331300,6629600,212.203106091151,4954
331350,6629600,212.172714600018,4954
331400,6629600,212.134583166978,4952
331450,6629600,212.088269402188,4948
331500,6629600,212.033315044262,4943
331550,6629600,211.969248750471,4941
331600,6629600,211.895589465831,9999
331650,6629600,211.81185022553,4945
331700,6629600,211.717542569824,4941
331750,6629600,211.612181841354,4931
331800,6629600,211.4952934389,4919
331850,6629600,211.366419558308,4914
331900,6629600,211.225126269124,4914
331950,6629600,211.071011329201,4920
332000,6629600,210.903711665648,4932
332050,6629600,210.722910661004,4936
332100,6629600,210.528345177811,4938
332150,6629600,210.31981230318,4933
332200,6629600,210.097175981569,4928
332250,6629600,209.860372851695,4923
332300,6629600,209.609417452911,4918
332350,6629600,209.344407235462,4917
332400,6629600,209.065526321132,4921
332450,6629600,208.773048247349,4910
332500,6629600,208.467337971164,4895
332550,6629600,208.148853481982,4892
332600,6629600,207.818145938637,4899
332650,6629600,207.475858722219,4917
332700,6629600,207.12272532541,4930
332750,6629600,206.759566370649,4937
332800,6629600,206.387286310394,4945
332850,6629600,206.006869312602,4958
332900,6629600,205.619373887426,4968
332950,6629600,205.22592687423,4975
333000,6629600,204.827716977349,4973
333050,6629600,204.425987294324,4962
333100,6629600,204.022027457733,4944
333150,6629600,203.617165603354,4932
333200,6629600,203.212760415867,4927
333250,6629600,202.810192765896,4927
333300,6629600,202.410857556329,4927
333350,6629600,202.01615572958,4924
333400,6629600,201.627485585858,4920
333450,6629600,201.246233865267,4913
333500,6629600,200.873766814927,4910
333550,6629600,200.511421348532,4909
333600,6629600,200.160496316956,4906
333650,6629600,199.822243991759,4904
333700,6629600,199.49786169332,4902
333750,6629600,199.188483655697,4898
333800,6629600,198.895173069021,4894
333850,6629600,198.618913671652,4890
333900,6629600,198.360601634364,4888
333950,6629600,198.12103864973,4887
334000,6629600,197.900926138583,4890
334050,6629600,197.700860148433,4893
334100,6629600,197.521326510136,4892
334150,6629600,197.362696280353,4891
334200,6629600,197.225221311681,4888
334250,6629600,197.109030181429,4889
334300,6629600,197.014124388581,4904
334350,6629600,196.94037561589,4967
334400,6629600,196.887523733275,5141
334450,6629600,196.855175340357,5315
334500,6629600,196.842803256412,5298
334550,6629600,196.849746876502,5201
334600,6629600,196.875213067092,5105
334650,6629600,196.918277414473,5035
334700,6629600,196.977886487845,4990
334750,6629600,197.052861436621,4959
334800,6629600,197.141902249907,4937
334850,6629600,197.243592660942,4920
334900,6629600,197.356406041105,4909
334950,6629600,197.478712002729,4901
335000,6629600,197.608783691782,4894
335050,6629600,197.7448057054,4887
335100,6629600,197.884883199098,4882
335150,6629600,198.027051983524,4877
335200,6629600,198.169289796327,4872
335250,6629600,198.309528705415,4866
335300,6629600,198.445667962651,4861
335350,6629600,198.575587557321,4855
335400,6629600,198.697162816963,4850
335450,6629600,198.808279563939,4846
335500,6629600,198.906850179278,4841
335550,6629600,198.990829907334,4838
335600,6629600,199.058233077777,4834
335650,6629600,199.107149809754,4833
335700,6629600,199.135762798808,4834
335750,6629600,199.14236356504,4832
335800,6629600,199.125367782905,4831
335850,6629600,199.083331116774,4829
335900,6629600,199.014964157584,4828
335950,6629600,198.919146370054,4825
336000,6629600,198.794938747671,4824
336050,6629600,198.641594679237,4822
336100,6629600,198.458569888916,4818
336150,6629600,198.245530454351,4814
336200,6629600,198.00235885077,4810
336250,6629600,197.729158428988,4807
336300,6629600,197.426255962304,4806
336350,6629600,197.094202394925,4804
336400,6629600,196.733771233097,4804
336450,6629600,196.345954094162,4804
336500,6629600,195.931953885649,4802
336550,6629600,195.493175469089,9999
336600,6629600,195.031214538206,4802
336650,6629600,194.547844441822,4801
336700,6629600,194.045001836551,4800
336750,6629600,193.524770578812,4796
336800,6629600,192.989364188714,4795
336850,6629600,192.441106706882,4791
336900,6629600,191.882411844088,4788
336950,6629600,191.315761786115,4788
337000,6629600,190.743685296285,4787
337050,6629600,190.168735032771,4791
337100,6629600,189.593464185159,4792
337150,6629600,189.020403136123,4794
337200,6629600,188.452035937421,4796
337250,6629600,187.890776893175,4794
337300,6629600,187.33894782651,4792
337350,6629600,186.798756892486,4789
337400,6629600,186.272278377756,4788
337450,6629600,185.761434708852,4787
337500,6629600,185.267980763756,4787
337550,6629600,184.793490277261,4786
337600,6629600,184.339344134187,4787
337650,6629600,183.906720402989,4793
337700,6629600,183.496586584497,4805
337750,6629600,183.109694110904,4828
337800,6629600,182.746574783122,4859
337850,6629600,182.407540244628,4868
337900,6629600,182.092684835532,4873
337950,6629600,181.801890778692,4862
338000,6629600,181.534834681577,4842
338050,6629600,181.290995583099,4826
338100,6629600,181.069664925719,4808
338150,6629600,180.86995877882,4791
338200,6629600,180.690831059824,4776
338250,6629600,180.531088199189,4764
338300,6629600,180.389404983782,4756
338350,6629600,180.264340712919,4751
338400,6629600,180.154355747939,4746
338450,6629600,180.057828950079,4745
338500,6629600,179.973075724729,4745
338550,6629600,179.898365814415,4746
338600,6629600,179.831940858549,4747
338650,6629600,179.772032244726,4748
338700,6629600,179.716878095622,4748
338750,6629600,179.664739266425,4749
338800,6629600,179.61391497108,4750
338850,6629600,179.562757617342,4750
338900,6629600,179.509686841127,4748
338950,6629600,179.453202835523,4746
339000,6629600,179.391898122536,4746
330000,6629800,209.344474885732,6020
330050,6629800,209.63643621305,6077
330100,6629800,209.927206118935,6031
330150,6629800,210.214546379016,5814
330200,6629800,210.49624906571,5566
330250,6629800,210.770160091059,5385
330300,6629800,211.034201684116,5287
330350,6629800,211.286393887209,5218
330400,6629800,211.524875269171,5163
330450,6629800,211.747921648086,5120
330500,6629800,211.95396248051,5094
330550,6629800,212.14159533996,5067
330600,6629800,212.309598468051,5044
330650,6629800,212.456940490192,5020
330700,6629800,212.582786360515,5001
330750,6629800,212.686500660332,4987
330800,6629800,212.767648038562,4975
330850,6629800,212.825991766921,4964
330900,6629800,212.861490518613,4956
330950,6629800,212.874292521645,4951
331000,6629800,212.864726864242,4949
331050,6629800,212.833292434772,4947
331100,6629800,212.780645080287,4944
331150,6629800,212.707583103949,4940
331200,6629800,212.615031434183,4937
331250,6629800,212.504024352778,4933
331300,6629800,212.375687210203,4931
331350,6629800,212.23121714844,4930
331400,6629800,212.07186396273,4930
331450,6629800,211.898910744815,4931
331500,6629800,211.713653976871,4932
331550,6629800,211.517384204016,4927
331600,6629800,211.311368609124,4920
331650,6629800,211.09683494748,4922
331700,6629800,210.874956388872,4925
331750,6629800,210.646837801787,4920
331800,6629800,210.413503632503,4915
331850,6629800,210.175888111647,4928
331900,6629800,209.934828099168,4956
331950,6629800,209.691057412884,4975
332000,6629800,209.44520320256,4964
332050,6629800,209.19778470787,4937
332100,6629800,208.949214441469,4920
332150,6629800,208.699801099343,4909
332200,6629800,208.449753948742,4898
332250,6629800,208.199188883454,4888
332300,6629800,207.948136718022,4878
332350,6629800,207.696552896006,4879
332400,6629800,207.444328129693,4897
332450,6629800,207.191300311568,4900
332500,6629800,206.937267646897,4901
332550,6629800,206.682002285551,4901
332600,6629800,206.425264128963,4908
332650,6629800,206.16681453147,4917
332700,6629800,205.906429134205,4926
332750,6629800,205.643909875269,4935
332800,6629800,205.379097263985,4951
332850,6629800,205.111881860476,4969
332900,6629800,204.842215480795,4971
332950,6629800,204.570120720439,4959
333000,6629800,204.295698857765,4949
333050,6629800,204.019136818875,4938
333100,6629800,203.740712214304,4932
333150,6629800,203.460796447539,4935
333200,6629800,203.179855993002,4954
333250,6629800,202.898451339109,4998
333300,6629800,202.617234194033,5022
333350,6629800,202.336942963231,5002
333400,6629800,202.058396909873,4963
333450,6629800,201.782488846056,4932
333500,6629800,201.510175757574,4914
333550,6629800,201.242467802361,4905
333600,6629800,200.980415785928,4899
333650,6629800,200.725097571135,4895
333700,6629800,200.477603715377,4890
333750,6629800,200.239022637066,4884
333800,6629800,200.010425271344,4879
333850,6629800,199.792849175875,4875
333900,6629800,199.587282751337,4874
333950,6629800,199.394649784106,4874
334000,6629800,199.215793822649,4874
334050,6629800,199.051461907865,4874
334100,6629800,198.902289276862,4875
334150,6629800,198.768786632239,4877
